tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
shop=convenience,shop,convenience,node,13437201155,세븐일레븐,세븐일레븐,7-Eleven,Y,37.4921965,127.0848374,일원로5길 58
amenity=restaurant,amenity,restaurant,node,12074773744,아재트,,,Y,37.5203179,127.0242308,
amenity=restaurant,amenity,restaurant,node,13958828826,냠냠물고기3탄,,,Y,37.4970070,127.1206992,송파대로30길 41-21
shop=convenience,shop,convenience,node,13911614683,CU 항동다연점,,,Y,37.4853890,126.8195140,연동로13길 56
amenity=bank,amenity,bank,node,2111938458,IBK기업은행,IBK기업은행,Industrial Bank of Korea,Y,37.5359798,127.1213871,
shop=convenience,shop,convenience,node,13911615257,패밀리마트 북가좌사랑점,,,Y,37.5781680,126.9090360,거북골로 195-1
amenity=restaurant,amenity,restaurant,node,13946852299,초록대문 수유점,,,Y,37.6367127,127.0254722,오패산로77길 24
amenity=restaurant,amenity,restaurant,node,8441122620,오만지아,,,Y,37.5339735,127.0098297,유엔빌리지길 14
amenity=cafe,amenity,cafe,node,13955965109,33apartment,,,N,37.5798221,126.9696260,
amenity=fast_food,amenity,fast_food,node,10129013357,피자플렉스,,,Y,37.5900716,127.0767257,봉우재로 30
amenity=restaurant,amenity,restaurant,node,12074612782,야콘냉면칼국수,,,Y,37.4809675,126.9521285,남부순환로 1820
amenity=restaurant,amenity,restaurant,node,13851760980,해바라기,,,Y,37.5568028,126.9854848,소파로 Jan-91
amenity=cafe,amenity,cafe,node,9720932253,카페 허쉬드,카페 허쉬드,Cafe Hushed,Y,37.5542001,126.9311187,
amenity=restaurant,amenity,restaurant,node,13854680418,오마카세 오사이초밥 고려대역점,,,Y,37.5910766,127.0367188,"회기로2길 2, 2층 (제기동)"
amenity=restaurant,amenity,restaurant,node,13946920470,미연당,,,Y,37.6032082,127.0380110,서울특별시 성북구 오패산로 8
amenity=doctors,amenity,doctors,node,4636936938,새들한의원,새들한의원,Saedeul Oriental Medicine Clinic,Y,37.4795402,126.9427657,쑥고개로
amenity=pharmacy,amenity,pharmacy,node,12941858523,감일365약국,,,Y,37.5076406,127.1538209,감일백제로 177
amenity=restaurant,amenity,restaurant,node,13854680733,(주)은정푸드,,,Y,37.5869657,127.0428396,"홍릉로 75, 2층 (청량리동)"
shop=convenience,shop,convenience,node,9816303803,GS25,,,N,37.5755288,126.9808340,
amenity=restaurant,amenity,restaurant,node,13676707031,청진동해장국 신촌점,,,Y,37.5550589,126.9352231,
amenity=restaurant,amenity,restaurant,node,12074685778,포지,,,Y,37.5794861,127.0441431,왕산로 192
amenity=restaurant,amenity,restaurant,node,13946799006,엘비스,,,Y,37.5088717,127.0429773,선릉로107길 13
amenity=restaurant,amenity,restaurant,node,13851764586,타논55,,,Y,37.5403630,127.0693840,아차산로 480
shop=cosmetics,shop,cosmetics,node,11683812862,향수n화장품,,,Y,37.5814677,127.0887130,면목로 330-1
amenity=restaurant,amenity,restaurant,node,12074671459,솔티드,,,Y,37.5553139,127.0791643,능동로32길 5
amenity=bank,amenity,bank,node,7802455585,IBK기업은행,IBK기업은행,Industrial Bank of Korea,Y,37.5140665,126.8962249,
healthcare=doctor,healthcare,doctor,node,368799180,본외과의원,본외과의원,Bonoegwa Clinic,Y,37.4749688,126.7957272,
amenity=fast_food,amenity,fast_food,node,11268259162,치킨마루 중동점,,,Y,37.4963316,126.7640063,
amenity=cafe,amenity,cafe,node,12076551049,코스탄테 커피(Costante coffee),,,Y,37.5128530,127.0183730,신반포로47길 56
amenity=restaurant,amenity,restaurant,node,12074756323,우향우 압구정지점,,,Y,37.5243883,127.0369680,도산대로49길 23
railway=station,railway,station,node,11942201168,장자호수공원,장자호수공원,Jangja Lake Park,Y,37.5874060,127.1379117,
amenity=restaurant,amenity,restaurant,node,13956630744,저팔계소곱생,,,Y,37.5470018,127.1261419,올림픽로 735
shop=convenience,shop,convenience,node,13563822514,스토리웨이,,Storyway,Y,37.5617879,127.0385122,
amenity=restaurant,amenity,restaurant,node,13727739356,리정원 연희점,,,Y,37.5658275,126.9286510,
amenity=restaurant,amenity,restaurant,node,13851761626,써브웨이 정동점,,,Y,37.5678178,126.9689891,새문안로 26
amenity=restaurant,amenity,restaurant,node,12074750491,밤빛,,,Y,37.5415247,127.0708521,동일로22길 117-19
amenity=cafe,amenity,cafe,node,13851758489,얼티즌,,,Y,37.5566071,126.9962365,필동로 34
amenity=restaurant,amenity,restaurant,node,12074421194,구레스시,,,Y,37.4977692,127.0284751,강남대로 390
shop=convenience,shop,convenience,node,6943595011,세븐일레븐,세븐일레븐,7-Eleven,Y,37.5568714,126.9140372,
amenity=restaurant,amenity,restaurant,node,10303124621,강여사김치찜,,,Y,37.5568947,127.0760736,면목로 29-1
amenity=restaurant,amenity,restaurant,node,10783517480,토나리우동,,Tonari Udon,Y,37.5094542,127.1100482,백제고분로45길 11
shop=bakery,shop,bakery,node,7288526434,몽소,몽소,Monceau,Y,37.5923538,126.9137192,증산로 403-1
amenity=restaurant,amenity,restaurant,node,13958829528,전주식당,,,Y,37.4787934,126.9023941,독산로109길 27
amenity=restaurant,amenity,restaurant,node,13854683170,아소정 청량리,,,Y,37.5773989,127.0431091,"고산자로32길 78, 2층 203,204호 (용두동, 청량리역한양수자인그라시엘)"
amenity=restaurant,amenity,restaurant,node,13854681533,백리향,,,Y,37.5781182,127.0585994,전농로16길 22 (전농동)
amenity=restaurant,amenity,restaurant,node,12079474302,미소야(구파발역점),,,Y,37.6357374,126.9191759,진관2로 29-21
amenity=restaurant,amenity,restaurant,node,13930561231,김가네 감자탕,,,Y,37.5132880,126.9214997,영등포로 392
amenity=restaurant,amenity,restaurant,node,13854681519,볼태기집,,,Y,37.5779006,127.0570145,"전농로19길 12 (전농동,(전농시장1길 8))"
amenity=restaurant,amenity,restaurant,node,13854682590,셉(sep),,,Y,37.5780689,127.0494595,"서울시립대로 82, 1층 1호 (전농동)"
healthcare=doctor,healthcare,doctor,node,368797298,유창정형외과의원,유창정형외과의원,Yuchangjeonghyeongoegwa Clinic,Y,37.4963430,126.7652400,
amenity=restaurant,amenity,restaurant,node,13930556946,정원갈비탕,,,Y,37.5107445,126.9170689,도신로58길 13
amenity=police,amenity,police,node,368602532,방학2치안센터,방학2치안센터,Banghak 2 Community Policing Center,Y,37.6631470,127.0306440,
amenity=cafe,amenity,cafe,node,6018335068,라피에스따,,,Y,37.5228718,127.0224649,
amenity=restaurant,amenity,restaurant,node,13946934744,라이스&포테이토,,,Y,37.5071639,126.9587406,서울특별시 동작구 흑석로 83
tourism=motel,tourism,motel,node,368702398,뉴월드모텔,뉴월드모텔,New World Motel,Y,37.5998745,126.9205793,
amenity=restaurant,amenity,restaurant,node,11037629117,금수저함바식당,,,Y,37.5969191,127.0611294,이문로30길 10
amenity=restaurant,amenity,restaurant,node,13956630562,돈사돈,,,Y,37.5418400,127.1242326,올림픽로 675
amenity=bank,amenity,bank,node,10929239449,신한은행,신한은행,Shinhan Bank,Y,37.6247422,127.0669937,
amenity=restaurant,amenity,restaurant,node,11890628926,토마토코엔トマト公園,,,Y,37.5544763,126.9016321,희우정로 104
amenity=restaurant,amenity,restaurant,node,12074593626,유연정,,,Y,37.4941830,127.0775280,
amenity=bank,amenity,bank,node,2102386097,외환은행,,,Y,37.4957129,127.0537678,
amenity=restaurant,amenity,restaurant,node,13956630425,돌무데기가든,,,Y,37.5396494,127.1454957,명일로19길 20
